date,Kitchen_Temperature (°C),Microwave_Power (W),Exhaust_Fan_Power (W),Fridge_Power (W),Juicer_Blender_Power (W),Kitchen_Total_Power (W),Outdoor_Temperature (°C),Outdoor_Humidity (%),Microwave_In_Use,Exhaust_Fan_In_Use,Fridge_In_Use,Juicer_Blender_In_Use,Kitchen_In_Use,hour,Gas_Stove_Power (W),Induction_Stove_Power (W),Gas_Stove_In_Use,Induction_Stove_In_Use,Outdoor Temperature (°C),Outdoor Humidity (%),Kitchen_Humidity (%),Kitchen Absolute Humidity,Kitchen_Energy (kWh)
2024-01-02 04:00:00,15.8,0,0,180,0,180,20,50,0,0,1,0,0,4,0,0,0,0,13.5,63.2,63.7,8.58,0.18
2024-01-02 05:00:00,17,0,0,180,0,180,20,50,0,0,1,0,0,5,0,0,0,0,14.2,68.3,70.9,10.29,0.18
2024-01-02 06:00:00,15.3,0,62.8,180,0,1458.6,20,50,0,1,1,0,1,6,1215.8,0,1,0,12.9,71.5,73.5,9.61,1.459
2024-01-02 07:00:00,15.1,0,93.8,180,560.4,3174.9,20,50,0,1,1,1,1,7,1157.3,1183.4,1,1,13.7,61.5,64.4,8.31,3.175
2024-01-02 08:00:00,17.5,0,94.7,180,0,2879.4,20,50,0,1,1,0,1,8,1069.6,1535.1,1,1,14.7,70.3,71.3,10.6,2.879
2024-01-02 09:00:00,16.7,0,46.5,180,0,2880.8,20,50,0,1,1,0,1,9,1246.4,1407.9,1,1,15.5,71.8,71.7,10.18,2.881
2024-01-02 10:00:00,15.7,0,0,180,0,180,20,50,0,0,1,0,0,10,0,0,0,0,14.4,69.2,68.7,9.21,0.18
2024-01-02 11:00:00,11.9,0,0,180,0,180,20,50,0,0,1,0,0,11,0,0,0,0,9.5,68.7,70.9,7.5,0.18
2024-01-02 12:00:00,15.3,0,99.5,180,0,1434.2,20,50,0,1,1,0,0,12,1154.7,0,1,0,13.6,65.5,67,8.78,1.434
2024-01-02 13:00:00,14.1,0,84.8,180,0,2772.6,20,50,0,1,1,0,0,13,1054.1,1453.7,1,1,12.5,67.5,67.4,8.16,2.773
2024-01-02 14:00:00,16.9,0,90.8,180,0,2934.6,20,50,0,1,1,0,0,14,1150.2,1513.6,1,1,15.6,67.5,68.8,9.87,2.935
2024-01-02 15:00:00,18.4,0,0,180,0,180,20,50,0,0,1,0,0,15,0,0,0,0,16.6,69.2,73.7,11.56,0.18
2024-01-02 16:00:00,16.8,0,0,180,0,180,20,50,0,0,1,0,0,16,0,0,0,0,14.7,68.1,65.9,9.43,0.18
2024-01-02 17:00:00,17.2,0,88.5,180,616.6,885.1,20,50,0,1,1,1,0,17,0,0,0,0,14.8,69.3,69.3,10.15,0.885
2024-01-02 18:00:00,15,0,92.1,180,0,2555.8,20,50,0,1,1,0,0,18,977.4,1306.3,1,1,13.9,68.8,70.1,8.96,2.556
2024-01-02 19:00:00,13.4,0,82.5,180,0,2678.2,20,50,0,1,1,0,1,19,1120.7,1295,1,1,11.7,66.7,63.9,7.41,2.678
2024-01-02 20:00:00,15.1,0,93.2,180,0,2709.7,20,50,0,1,1,0,1,20,969.3,1467.2,1,1,13.9,67.9,72.5,9.36,2.71
2024-01-02 21:00:00,16,0,89.9,180,0,1430.5,20,50,0,1,1,0,1,21,0,1160.6,0,1,13.4,73.2,74.2,10.11,1.431
2024-01-02 22:00:00,15.6,0,0,180,0,180,20,50,0,0,1,0,1,22,0,0,0,0,14.2,68.2,70.9,9.45,0.18
2024-01-02 23:00:00,14,0,0,180,0,180,20,50,0,0,1,0,0,23,0,0,0,0,12.8,60.6,58.1,6.99,0.18
2024-01-03 00:00:00,13.8,0,0,180,0,180,20,50,0,0,1,0,0,0,0,0,0,0,11,66.4,70.5,8.39,0.18
2024-01-03 01:00:00,14.2,0,0,180,0,180,20,50,0,0,1,0,0,1,0,0,0,0,12.2,63,63.8,7.76,0.18
2024-01-03 02:00:00,16.4,0,0,180,0,180,20,50,0,0,1,0,0,2,0,0,0,0,14.2,63.9,68.8,9.62,0.18
2024-01-03 03:00:00,18.6,0,0,180,0,180,20,50,0,0,1,0,0,3,0,0,0,0,16,67.5,70.8,11.25,0.18
2024-01-03 04:00:00,17.4,0,0,180,0,180,20,50,0,0,1,0,0,4,0,0,0,0,15.2,71.2,75.1,11.14,0.18
2024-01-03 05:00:00,15.8,0,0,180,0,180,20,50,0,0,1,0,0,5,0,0,0,0,13.2,64.8,62.1,8.37,0.18
2024-01-03 06:00:00,17.8,0,62.7,180,0,1410.7,20,50,0,1,1,0,1,6,1168,0,1,0,15.3,66.2,65.4,9.91,1.411
2024-01-03 07:00:00,16.4,0,40.8,180,542.2,3301.2,20,50,0,1,1,1,1,7,1059.9,1478.3,1,1,14.4,68.2,71.5,9.99,3.301
2024-01-03 08:00:00,17,0,56,180,0,2855.2,20,50,0,1,1,0,1,8,1237,1382.2,1,1,14.9,69.7,66.8,9.65,2.855
2024-01-03 09:00:00,16.4,0,92.2,180,0,2582.1,20,50,0,1,1,0,1,9,962,1347.9,1,1,13.7,72.5,73.5,10.23,2.582
2024-01-03 10:00:00,17.4,0,0,180,0,180,20,50,0,0,1,0,0,10,0,0,0,0,15,67.7,71.7,10.65,0.18
2024-01-03 11:00:00,16.7,0,0,180,0,180,20,50,0,0,1,0,0,11,0,0,0,0,14.4,74.1,74.5,10.6,0.18
2024-01-03 12:00:00,16.3,0,89.7,180,0,1411.9,20,50,0,1,1,0,0,12,1142.2,0,1,0,13.9,72.5,69.6,9.64,1.412
2024-01-03 13:00:00,15,0,80.8,180,0,2734.2,20,50,0,1,1,0,0,13,1237.2,1236.2,1,1,13.1,66.4,67.3,8.62,2.734
2024-01-03 14:00:00,13.9,0,81.3,180,0,2996.6,20,50,0,1,1,0,0,14,1185.6,1549.7,1,1,11.7,69.3,73.9,8.87,2.997
2024-01-03 15:00:00,14.2,0,0,180,0,180,20,50,0,0,1,0,0,15,0,0,0,0,12.8,62.9,61.3,7.47,0.18
2024-01-03 16:00:00,17.3,0,0,180,0,180,20,50,0,0,1,0,0,16,0,0,0,0,14.5,67,69.1,10.17,0.18
2024-01-03 17:00:00,14.5,0,94,180,562.2,836.2,20,50,0,1,1,1,0,17,0,0,0,0,12.6,72.3,72.3,9,0.836
2024-01-03 18:00:00,17.9,0,95.2,180,0,2862.5,20,50,0,1,1,0,0,18,1078.4,1508.9,1,1,15.3,68.9,66.1,10.1,2.862
2024-01-03 19:00:00,14.3,0,91.6,180,0,2549.2,20,50,0,1,1,0,1,19,1155.2,1122.4,1,1,13.2,70.1,74.5,9.15,2.549
2024-01-03 20:00:00,15.5,0,93.1,180,0,2779.4,20,50,0,1,1,0,1,20,1047.5,1458.8,1,1,14,74.3,76,10.07,2.779
2024-01-03 21:00:00,13.2,0,45.3,180,0,1407.7,20,50,0,1,1,0,1,21,0,1182.4,0,1,10.4,68.4,67.6,7.78,1.408
2024-01-03 22:00:00,13.2,0,0,180,0,180,20,50,0,0,1,0,1,22,0,0,0,0,11.1,72.7,75.3,8.63,0.18
2024-01-03 23:00:00,16.2,0,0,180,0,180,20,50,0,0,1,0,0,23,0,0,0,0,14.1,69.9,67.6,9.3,0.18
2024-01-04 00:00:00,20,0,0,180,0,180,20,50,0,0,1,0,0,0,0,0,0,0,17,68.2,70.6,12.18,0.18
2024-01-04 01:00:00,14.5,0,0,180,0,180,20,50,0,0,1,0,0,1,0,0,0,0,13.2,66.3,65.5,8.15,0.18
2024-01-04 02:00:00,16.1,0,0,180,0,180,20,50,0,0,1,0,0,2,0,0,0,0,14.6,68.2,71.1,9.74,0.18
2024-01-04 03:00:00,16.7,0,0,180,0,180,20,50,0,0,1,0,0,3,0,0,0,0,15.7,75.1,80,11.39,0.18
2024-01-04 04:00:00,16.8,0,0,180,0,180,20,50,0,0,1,0,0,4,0,0,0,0,15.6,73.9,77.6,11.09,0.18
2024-01-04 05:00:00,15.7,0,0,180,0,180,20,50,0,0,1,0,0,5,0,0,0,0,14.5,65.2,64.5,8.64,0.18
2024-01-04 06:00:00,15.6,0,65,180,0,1401.6,20,50,0,1,1,0,1,6,1156.6,0,1,0,13.5,66.2,71,9.45,1.402
2024-01-04 07:00:00,16.2,0,81,180,474.2,3279.9,20,50,0,1,1,1,1,7,1010.2,1534.5,1,1,14.2,69,69.7,9.63,3.28
2024-01-04 08:00:00,14.1,0,54.3,180,0,2773,20,50,0,1,1,0,1,8,1014.8,1523.9,1,1,11.6,67.4,68.8,8.35,2.773
2024-01-04 09:00:00,15.6,0,93.8,180,0,2715.5,20,50,0,1,1,0,1,9,972,1469.7,1,1,13.3,67.7,67.1,8.93,2.716
2024-01-04 10:00:00,11.4,0,0,180,0,180,20,50,0,0,1,0,0,10,0,0,0,0,10.4,69.6,73.9,7.6,0.18
2024-01-04 11:00:00,13.4,0,0,180,0,180,20,50,0,0,1,0,0,11,0,0,0,0,11.7,69.2,72.6,8.44,0.18
2024-01-04 12:00:00,16,0,99.2,180,0,1377,20,50,0,1,1,0,0,12,1097.8,0,1,0,14.7,74.2,77.1,10.47,1.377
2024-01-04 13:00:00,13.8,0,79.5,180,0,2616.6,20,50,0,1,1,0,0,13,975.6,1381.5,1,1,12.5,56.8,54.5,6.49,2.617
2024-01-04 14:00:00,13.7,0,74.8,180,0,2727.1,20,50,0,1,1,0,0,14,983.4,1488.9,1,1,11.8,68.4,65.9,7.79,2.727
2024-01-04 15:00:00,15.6,0,0,180,0,180,20,50,0,0,1,0,0,15,0,0,0,0,13.6,65.2,63.3,8.43,0.18
2024-01-04 16:00:00,17.1,0,0,180,0,180,20,50,0,0,1,0,0,16,0,0,0,0,15.6,65.3,69.5,10.12,0.18
2024-01-04 17:00:00,13.9,0,93.1,180,607.3,880.4,20,50,0,1,1,1,0,17,0,0,0,0,11.7,77.3,81.8,9.81,0.88
2024-01-04 18:00:00,16.5,0,85.4,180,0,2707,20,50,0,1,1,0,0,18,1102.3,1339.3,1,1,14.4,67.9,66.5,9.33,2.707
2024-01-04 19:00:00,15.8,928.5230421,81.4,180,0,3609.3,20,50,1,1,1,0,1,19,991.5,1427.9,1,1,14.6,66.9,70.1,9.44,3.609
2024-01-04 20:00:00,17.6,0,98,180,0,2753.9,20,50,0,1,1,0,1,20,1050.7,1425.2,1,1,15.2,69.8,70.9,10.63,2.754
2024-01-04 21:00:00,16.2,782.6850204,65.4,180,0,2229.5,20,50,1,1,1,0,1,21,0,1201.4,0,1,14,68,72.6,10,2.229
2024-01-04 22:00:00,15.6,0,0.5,180,0,180.5,20,50,0,1,1,0,1,22,0,0,0,0,14.4,64.3,68.3,9.1,0.18
2024-01-04 23:00:00,16.6,0,0,180,0,180,20,50,0,0,1,0,0,23,0,0,0,0,14,64.1,64.6,9.12,0.18
2024-01-05 00:00:00,16.2,0,0,180,0,180,20,50,0,0,1,0,0,0,0,0,0,0,13.9,66.2,68.8,9.47,0.18
2024-01-05 01:00:00,15.3,0,0,180,0,180,20,50,0,0,1,0,0,1,0,0,0,0,13.4,66.4,68,8.89,0.18
2024-01-05 02:00:00,17.6,0,0,180,0,180,20,50,0,0,1,0,0,2,0,0,0,0,15.5,69.7,72.9,10.95,0.18
2024-01-05 03:00:00,17.9,0,0,180,0,180,20,50,0,0,1,0,0,3,0,0,0,0,15.4,66.6,66.8,10.17,0.18
2024-01-05 04:00:00,14.8,0,0,180,0,180,20,50,0,0,1,0,0,4,0,0,0,0,12.1,63,67.1,8.5,0.18
2024-01-05 05:00:00,17.2,0,0,180,0,180,20,50,0,0,1,0,0,5,0,0,0,0,14.6,73.9,75.7,11.08,0.18
2024-01-05 06:00:00,12.9,0,84.1,180,0,1304.1,20,50,0,1,1,0,1,6,1040,0,1,0,11.5,61,60.2,6.78,1.304
2024-01-05 07:00:00,17.4,0,76,180,611.7,3116.7,20,50,0,1,1,1,1,7,1025.2,1223.8,1,1,15.1,77.1,78.2,11.59,3.117
2024-01-05 08:00:00,13.1,0,78.8,180,0,2848.3,20,50,0,1,1,0,1,8,1122.4,1467.1,1,1,11.7,67.1,65.3,7.44,2.848
2024-01-05 09:00:00,16.1,0,78.6,180,0,2536.2,20,50,0,1,1,0,1,9,1120.8,1156.8,1,1,13.3,68.8,73.3,10.03,2.536
2024-01-05 10:00:00,16.3,0,0,180,0,180,20,50,0,0,1,0,0,10,0,0,0,0,13.4,64.7,63.5,8.81,0.18
2024-01-05 11:00:00,16.2,0,0,180,0,180,20,50,0,0,1,0,0,11,0,0,0,0,14.1,67.4,69.9,9.65,0.18
2024-01-05 12:00:00,16.5,0,84.3,180,0,1436.5,20,50,0,1,1,0,0,12,1172.2,0,1,0,14.9,69.4,69.6,9.76,1.437
2024-01-05 13:00:00,16.3,0,79.3,180,0,2744.5,20,50,0,1,1,0,0,13,967.3,1517.9,1,1,13.6,66.2,64.3,8.89,2.744
2024-01-05 14:00:00,17.9,0,97,180,0,2617.3,20,50,0,1,1,0,0,14,1021.4,1318.9,1,1,15,64.4,69,10.5,2.617
2024-01-05 15:00:00,14.7,0,0,180,0,180,20,50,0,0,1,0,0,15,0,0,0,0,13.1,72.4,77.1,9.69,0.18
2024-01-05 16:00:00,17,0,0,180,0,180,20,50,0,0,1,0,0,16,0,0,0,0,14.7,72.1,70.7,10.22,0.18
2024-01-05 17:00:00,20.6,0,72.8,180,559.4,812.2,20,50,0,1,1,1,0,17,0,0,0,0,17.7,71.2,71,12.7,0.812
2024-01-05 18:00:00,14.3,0,57.7,180,0,2846.3,20,50,0,1,1,0,0,18,1139.4,1469.2,1,1,12,67.6,69.3,8.53,2.846
2024-01-05 19:00:00,17.6,0,86.7,180,0,2577.5,20,50,0,1,1,0,1,19,1100.3,1210.5,1,1,14.6,67,68,10.2,2.578
2024-01-05 20:00:00,15.7,0,67.7,180,0,2813.5,20,50,0,1,1,0,1,20,1177.5,1388.3,1,1,14.2,67.3,72.2,9.68,2.813
2024-01-05 21:00:00,15.1,1097.436046,0,180,0,1277.4,20,50,1,0,1,0,1,21,0,0,0,0,12.9,69.6,69.3,8.94,1.277
2024-01-05 22:00:00,16.9,0,0,180,0,180,20,50,0,0,1,0,1,22,0,0,0,0,15.1,63.7,65.6,9.45,0.18
2024-01-05 23:00:00,16.4,0,0,180,0,180,20,50,0,0,1,0,0,23,0,0,0,0,13.9,71.5,76.1,10.61,0.18
2024-01-06 00:00:00,13.8,0,0,180,0,180,20,50,0,0,1,0,0,0,0,0,0,0,12.4,71.1,75.7,9.03,0.18
2024-01-06 01:00:00,15.1,0,0,180,0,180,20,50,0,0,1,0,0,1,0,0,0,0,12.2,64.6,62.4,8.03,0.18
2024-01-06 02:00:00,16.4,0,0,180,0,180,20,50,0,0,1,0,0,2,0,0,0,0,14.3,70.5,71.3,9.95,0.18
2024-01-06 03:00:00,18.6,0,0,180,0,180,20,50,0,0,1,0,0,3,0,0,0,0,16.4,67.7,66.3,10.52,0.18
2024-01-06 04:00:00,14.1,0,0,180,0,180,20,50,0,0,1,0,0,4,0,0,0,0,13,71,72.5,8.78,0.18
2024-01-06 05:00:00,13.1,0,0,180,0,180,20,50,0,0,1,0,0,5,0,0,0,0,11.8,66.5,67.3,7.66,0.18
2024-01-06 06:00:00,16.1,0,94.1,180,0,1461.1,20,50,0,1,1,0,1,6,1187,0,1,0,14.3,70,70.6,9.67,1.461
2024-01-06 07:00:00,16.3,0,89.1,180,552.5,3394.5,20,50,0,1,1,1,1,7,1050,1522.9,1,1,13.9,71.5,69.7,9.68,3.394
2024-01-06 08:00:00,11.3,0,90.4,180,0,1543.3,20,50,0,1,1,0,1,8,0,1272.9,0,1,9.5,72,76.3,7.78,1.543
2024-01-06 09:00:00,18.7,0,81.5,180,0,2829.9,20,50,0,1,1,0,1,9,1171.9,1396.5,1,1,16.9,65,68.9,11.06,2.83
2024-01-06 10:00:00,16.9,0,0,180,0,180,20,50,0,0,1,0,1,10,0,0,0,0,14.1,69.7,73.9,10.63,0.18
2024-01-06 11:00:00,15.9,0,0,180,0,180,20,50,0,0,1,0,1,11,0,0,0,0,13.4,65.3,62.3,8.42,0.18
2024-01-06 12:00:00,16.5,1102.796417,100.1,180,0,2513.8,20,50,1,1,1,0,1,12,1130.9,0,1,0,14,64.1,65.4,9.16,2.514
2024-01-06 13:00:00,16.4,757.2024982,82.2,180,0,3528.8,20,50,1,1,1,0,1,13,1228.1,1281.3,1,1,13.6,62.7,66.9,9.32,3.529
2024-01-06 14:00:00,12.8,1436.054563,93.6,180,0,4275.9,20,50,1,1,1,0,1,14,1078.8,1487.4,1,1,11.5,59.9,64.4,7.19,4.276
2024-01-06 15:00:00,15.6,0,0,180,0,180,20,50,0,0,1,0,1,15,0,0,0,0,13.9,66.2,66.8,8.9,0.18
2024-01-06 16:00:00,17.8,0,0,180,0,180,20,50,0,0,1,0,1,16,0,0,0,0,15.4,67.3,69.8,10.61,0.18
2024-01-06 17:00:00,18.6,0,72.7,180,603.5,856.2,20,50,0,1,1,1,1,17,0,0,0,0,15.6,67.7,66.5,10.56,0.856
2024-01-06 18:00:00,15.8,0,99.3,180,0,3049.7,20,50,0,1,1,0,1,18,1235.8,1534.6,1,1,14.6,63.7,68.1,9.16,3.05
2024-01-06 19:00:00,14.6,1141.032629,90.6,180,0,3764.4,20,50,1,1,1,0,1,19,1147.8,1205,1,1,12.1,65.2,68.5,8.6,3.764
2024-01-06 20:00:00,14.8,0,50.2,180,0,3016.2,20,50,0,1,1,0,1,20,1241.5,1544.5,1,1,13.2,66.3,66.4,8.39,3.016
2024-01-06 21:00:00,16.8,0,55.5,180,0,1477.5,20,50,0,1,1,0,1,21,0,1242,0,1,15,66.8,68.6,9.79,1.478
2024-01-06 22:00:00,17.7,0,0,180,0,180,20,50,0,0,1,0,1,22,0,0,0,0,15.5,71.9,71.4,10.79,0.18
2024-01-06 23:00:00,15.2,0,0,180,0,180,20,50,0,0,1,0,0,23,0,0,0,0,13.8,72.3,71.9,9.34,0.18
2024-01-07 00:00:00,17.9,0,0,180,0,180,20,50,0,0,1,0,0,0,0,0,0,0,15.9,72,70.3,10.72,0.18
2024-01-07 01:00:00,18,0,0,180,0,180,20,50,0,0,1,0,0,1,0,0,0,0,16.4,61.4,64.9,9.97,0.18
2024-01-07 02:00:00,18.3,0,0,180,0,180,20,50,0,0,1,0,0,2,0,0,0,0,15.5,63.6,65.8,10.31,0.18
2024-01-07 03:00:00,17.4,0,0,180,0,180,20,50,0,0,1,0,0,3,0,0,0,0,14.9,70.7,69.9,10.36,0.18
2024-01-07 04:00:00,17.4,0,1.4,180,0,181.4,20,50,0,1,1,0,0,4,0,0,0,0,14.5,67.5,72.1,10.69,0.181
2024-01-07 05:00:00,15.4,0,0,180,0,180,20,50,0,0,1,0,0,5,0,0,0,0,13.1,66,70.2,9.21,0.18
2024-01-07 06:00:00,13.5,0,49.2,180,0,1508.9,20,50,0,1,1,0,1,6,1279.7,0,1,0,12.1,64.2,67,7.82,1.509
2024-01-07 07:00:00,12.8,0,97.9,180,478.9,3099,20,50,0,1,1,1,1,7,1016.6,1325.6,1,1,11.6,69.1,67.1,7.52,3.099
2024-01-07 08:00:00,16.1,956.0043167,97.6,180,0,3748.2,20,50,1,1,1,0,1,8,1144,1370.6,1,1,13.9,66.5,63.5,8.72,3.748
2024-01-07 09:00:00,15.5,1182.8363,40.9,180,0,3589.5,20,50,1,1,1,0,1,9,962.2,1223.6,1,1,14.3,72,74.5,9.86,3.59
2024-01-07 10:00:00,16.1,0,0,180,0,180,20,50,0,0,1,0,1,10,0,0,0,0,14.6,70.8,72.9,10.01,0.18
2024-01-07 11:00:00,15.8,0,0,180,0,180,20,50,0,0,1,0,1,11,0,0,0,0,13.3,69.9,67.5,9.09,0.18
2024-01-07 12:00:00,12.6,758.1728193,95.1,180,0,2319.7,20,50,1,1,1,0,1,12,1286.4,0,1,0,10.2,69.7,74.4,8.23,2.32
2024-01-07 13:00:00,15.7,765.8572041,96.7,180,0,3755.4,20,50,1,1,1,0,1,13,1164.8,1548,1,1,13.3,75.8,78.9,10.54,3.755
2024-01-07 14:00:00,16.8,1223.055843,96.1,180,0,3761.1,20,50,1,1,1,0,1,14,988.3,1273.6,1,1,15.6,69.5,73.1,10.42,3.761
2024-01-07 15:00:00,15.6,0,0,180,0,180,20,50,0,0,1,0,1,15,0,0,0,0,14.4,67.4,66,8.76,0.18
2024-01-07 16:00:00,14.5,0,0,180,0,180,20,50,0,0,1,0,1,16,0,0,0,0,13.2,69.6,67.5,8.38,0.18
2024-01-07 17:00:00,15.8,0,90.8,180,465.1,735.9,20,50,0,1,1,1,1,17,0,0,0,0,13.3,67.3,71.4,9.61,0.736
2024-01-07 18:00:00,15.9,0,82.1,180,0,2884,20,50,0,1,1,0,1,18,1141.2,1480.7,1,1,14,67,65,8.78,2.884
2024-01-07 19:00:00,15.8,0,91.6,180,0,2544.7,20,50,0,1,1,0,1,19,986.3,1286.8,1,1,14,66.2,66.7,8.99,2.545
2024-01-07 20:00:00,14.9,0,80,180,0,2571.2,20,50,0,1,1,0,1,20,942.8,1368.4,1,1,12.1,60,58,7.37,2.571
2024-01-07 21:00:00,14,0,48.8,180,0,1618,20,50,0,1,1,0,1,21,0,1389.2,0,1,12.7,65.1,62.8,7.58,1.618
2024-01-07 22:00:00,16.2,0,0,180,0,180,20,50,0,0,1,0,1,22,0,0,0,0,13.9,63.6,62.1,8.58,0.18
2024-01-07 23:00:00,15.3,0,0,180,0,180,20,50,0,0,1,0,0,23,0,0,0,0,13.1,60.9,64.5,8.42,0.18
2024-01-08 00:00:00,14.9,0,0,180,0,180,20,50,0,0,1,0,0,0,0,0,0,0,13.3,67.1,69.6,8.88,0.18
2024-01-08 01:00:00,18.2,0,0,180,0,180,20,50,0,0,1,0,0,1,0,0,0,0,16.3,69.5,74.2,11.56,0.18
2024-01-08 02:00:00,17.6,0,0,180,0,180,20,50,0,0,1,0,0,2,0,0,0,0,14.9,65.5,64.4,9.67,0.18
2024-01-08 03:00:00,16.8,0,0,180,0,180,20,50,0,0,1,0,0,3,0,0,0,0,15.5,69.7,67.5,9.61,0.18
2024-01-08 04:00:00,14.6,0,1.4,180,0,181.4,20,50,0,1,1,0,0,4,0,0,0,0,13.5,65.3,68,8.5,0.181
2024-01-08 05:00:00,17.6,0,0.8,180,0,180.8,20,50,0,1,1,0,0,5,0,0,0,0,15.8,68.1,71.2,10.7,0.181
2024-01-08 06:00:00,13.1,791.8383188,88.8,180,0,2280.7,20,50,1,1,1,0,1,6,1220.1,0,1,0,11.9,68.5,70.6,8.06,2.281
2024-01-08 07:00:00,16.9,0,56.4,180,599.4,3374.2,20,50,0,1,1,1,1,7,1189.8,1348.6,1,1,14.9,62.7,61.4,8.81,3.374
2024-01-08 08:00:00,16.7,0,53.5,180,0,2557,20,50,0,1,1,0,1,8,1093,1230.5,1,1,14.7,74.1,73,10.36,2.557
2024-01-08 09:00:00,12.6,0,80.8,180,0,2856.9,20,50,0,1,1,0,1,9,1133.8,1462.3,1,1,11.3,74.6,77.8,8.61,2.857
