Datetime,LivingRoom_Energy_kWh,Bathroom1_Energy_kWh,Bathroom2_Energy_kWh,Bedroom1_Energy_kWh,Bedroom2_Energy_kWh,Kitchen_Energy_kWh,Total_Energy_kWh
2024-01-03 00:00:00,0,0,0,0,0,0.18,0.18
2024-01-03 01:00:00,0,0,0,0,0,0.18,0.18
2024-01-03 02:00:00,0,0,0,0,0,0.18,0.18
2024-01-03 03:00:00,0,0,0,0,0,0.18,0.18
2024-01-03 04:00:00,0,0.129,0,0.04,0.034,0.18,0.383
2024-01-03 05:00:00,0,1.807,1.626,0.038,0.039,0.18,3.69
2024-01-03 06:00:00,1.38,0.065,0.065,0.047,0.04,1.411,3.008
2024-01-03 07:00:00,1.434,0.104,0.094,0.05,0.05,3.301,5.033
2024-01-03 08:00:00,1.432,1.739,0.729,0.042,0.038,2.855,6.835
2024-01-03 09:00:00,1.101,1.627,1.984,0.04,0.047,2.582,7.381
2024-01-03 10:00:00,0,0,0.633,0,0,0.18,0.813
2024-01-03 11:00:00,0,0,0,0,0,0.18,0.18
2024-01-03 12:00:00,0,0.578,0,0,0,1.412,1.99
2024-01-03 13:00:00,0,0,0,0,0,2.734,2.734
2024-01-03 14:00:00,0,0,0,0,0,2.997,2.997
2024-01-03 15:00:00,0,0,0,0,0,0.18,0.18
2024-01-03 16:00:00,0,0,0,0,0,0.18,0.18
2024-01-03 17:00:00,0,0,0,0,0,0.836,0.836
2024-01-03 18:00:00,1.458,0,0,0,0,2.862,4.32
2024-01-03 19:00:00,1.522,0.113,0.337,0.348,0.315,2.549,5.184
2024-01-03 20:00:00,1.469,1.033,1.555,0.221,0.197,2.779,7.254
2024-01-03 21:00:00,1.536,0.096,1.592,0.223,0.175,1.408,5.03
2024-01-03 22:00:00,1.297,1.159,1.829,0.317,0.242,0.18,5.024
2024-01-03 23:00:00,0,0,0,0.222,0.286,0.18,0.688
2024-01-04 00:00:00,0,0,0,0,0.036,0.18,0.216
2024-01-04 01:00:00,0,0,0,0,0,0.18,0.18
2024-01-04 02:00:00,0,0,0,0,0,0.18,0.18
2024-01-04 03:00:00,0,0,0,0.021,0,0.18,0.201
2024-01-04 04:00:00,0,0.067,0,0.034,0.044,0.18,0.325
2024-01-04 05:00:00,0,1.567,0.945,0.054,0.039,0.18,2.785
2024-01-04 06:00:00,1.361,1.719,1.157,0.039,0.056,1.402,5.734
2024-01-04 07:00:00,1.288,0.127,0.096,0.038,0.05,3.28,4.879
2024-01-04 08:00:00,1.46,1.816,1.469,0.038,0.036,2.773,7.592
2024-01-04 09:00:00,1.286,1.768,1.505,0.052,0.037,2.716,7.364
2024-01-04 10:00:00,0,0,0,0,0,0.18,0.18
2024-01-04 11:00:00,0,0,0,0,0,0.18,0.18
2024-01-04 12:00:00,0,0,0,0,0,1.377,1.377
2024-01-04 13:00:00,0,0,0,0,0,2.617,2.617
2024-01-04 14:00:00,0,0,0,0,0,2.727,2.727
2024-01-04 15:00:00,0,0,0,0,0,0.18,0.18
2024-01-04 16:00:00,0,0,0,0,0,0.18,0.18
2024-01-04 17:00:00,0,0,0,0,0,0.88,0.88
2024-01-04 18:00:00,1.536,0,0,0,0,2.707,4.243
2024-01-04 19:00:00,1.429,0.081,0.039,0.262,0.296,3.609,5.716
2024-01-04 20:00:00,1.616,1.625,1.323,0.306,0.222,2.754,7.846
2024-01-04 21:00:00,1.216,0.93,0.049,0.251,0.226,2.229,4.901
2024-01-04 22:00:00,1.23,0,0.126,0.271,0.226,0.18,2.033
2024-01-04 23:00:00,0,0,0,0.152,0.239,0.18,0.571
2024-01-05 00:00:00,0,0,0,0,0,0.18,0.18
2024-01-05 01:00:00,0,0,0,0,0,0.18,0.18
2024-01-05 02:00:00,0,0,0,0,0,0.18,0.18
2024-01-05 03:00:00,0,0,0,0,0,0.18,0.18
2024-01-05 04:00:00,0,0.131,0,0.047,0.02,0.18,0.378
2024-01-05 05:00:00,0,1.639,1.736,0.052,0.04,0.18,3.647
2024-01-05 06:00:00,1.183,0,0.181,0.053,0.049,1.304,2.77
2024-01-05 07:00:00,1.259,1.252,0.079,0.035,0.04,3.117,5.782
2024-01-05 08:00:00,1.494,1.454,0.042,0.053,0.053,2.848,5.944
2024-01-05 09:00:00,1.265,0,0.055,0.058,0.056,2.536,3.97
2024-01-05 10:00:00,0,0,0,0,0,0.18,0.18
2024-01-05 11:00:00,0,0,0,0,0,0.18,0.18
2024-01-05 12:00:00,0,0,0,0,0,1.437,1.437
2024-01-05 13:00:00,0,0,0,0,0,2.744,2.744
2024-01-05 14:00:00,0,0,0,0,0,2.617,2.617
2024-01-05 15:00:00,0,0,0,0,0,0.18,0.18
2024-01-05 16:00:00,0,0,0,0,0,0.18,0.18
2024-01-05 17:00:00,0,0,0,0,0,0.812,0.812
2024-01-05 18:00:00,1.172,0.101,0,0,0,2.846,4.119
2024-01-05 19:00:00,1.401,0.105,0.081,0.188,0.252,2.578,4.605
2024-01-05 20:00:00,1.34,1.332,1.367,0.241,0.292,2.813,7.385
2024-01-05 21:00:00,1.498,0.108,0.081,0.332,0.247,1.277,3.543
2024-01-05 22:00:00,1.435,1.327,1.455,0.278,0.214,0.18,4.889
2024-01-05 23:00:00,0,0,0,0.209,0.169,0.18,0.558
2024-01-06 00:00:00,0,0,0,0,0,0.18,0.18
2024-01-06 01:00:00,0,0,0,0.027,0,0.18,0.207
2024-01-06 02:00:00,0,0,0,0.037,0,0.18,0.217
2024-01-06 03:00:00,0,0,0,0,0,0.18,0.18
2024-01-06 04:00:00,0,0.094,0,0.022,0.035,0.18,0.331
2024-01-06 05:00:00,0,1.728,1.558,0.035,0.051,0.18,3.552
2024-01-06 06:00:00,1.413,1.06,0.112,0.056,0.036,1.461,4.138
2024-01-06 07:00:00,1.29,1.1,1.549,0.056,0.057,3.394,7.446
2024-01-06 08:00:00,1.416,0.171,0.984,0.059,0.051,1.543,4.224
2024-01-06 09:00:00,1.328,1.302,0,0.04,0.038,2.83,5.538
2024-01-06 10:00:00,0.06,0,0,0,0.022,0.18,0.262
2024-01-06 11:00:00,0.056,0,0.029,0,0,0.18,0.265
2024-01-06 12:00:00,0.046,0.708,0,0,0,2.514,3.268
2024-01-06 13:00:00,0.058,0,0,0,0,3.529,3.587
2024-01-06 14:00:00,0.065,0,0,0,0,4.276,4.341
2024-01-06 15:00:00,0.055,0,0,0,0,0.18,0.235
2024-01-06 16:00:00,0.064,0,0,0.036,0,0.18,0.28
2024-01-06 17:00:00,0.075,0,0,0,0,0.856,0.931
2024-01-06 18:00:00,1.067,0.091,0.27,0.261,0.304,3.05,5.043
2024-01-06 19:00:00,1.546,0.061,0.094,0.306,0.309,3.764,6.08
2024-01-06 20:00:00,1.53,1.524,1.778,0.273,0.33,3.016,8.451
2024-01-06 21:00:00,1.28,0,0.043,0.263,0.306,1.478,3.37
2024-01-06 22:00:00,1.612,0,1.292,0.277,0.334,0.18,3.695
2024-01-06 23:00:00,1.25,0,0,0.188,0.153,0.18,1.771
2024-01-07 00:00:00,0,0,0,0,0.036,0.18,0.216
2024-01-07 01:00:00,0,0,0,0,0,0.18,0.18
2024-01-07 02:00:00,0,0,0,0,0,0.18,0.18
2024-01-07 03:00:00,0,0,0,0,0,0.18,0.18
2024-01-07 04:00:00,0,0.065,0,0.02,0.031,0.181,0.297
2024-01-07 05:00:00,0,1.478,1.817,0.059,0.054,0.18,3.588
2024-01-07 06:00:00,1.444,1.759,0.07,0.056,0.059,1.509,4.897
2024-01-07 07:00:00,1.44,1.117,0.073,0.043,0.035,3.099,5.807
2024-01-07 08:00:00,1.351,0,1.037,0.051,0.038,3.748,6.225
2024-01-07 09:00:00,1.302,0,1.321,0.057,0.047,3.59,6.317
2024-01-07 10:00:00,0.043,0,0,0,0.027,0.18,0.25
2024-01-07 11:00:00,0.051,0.609,0.572,0.032,0,0.18,1.444
2024-01-07 12:00:00,0.077,0,0,0,0.029,2.32,2.426
2024-01-07 13:00:00,0.063,0,0,0,0,3.755,3.818
2024-01-07 14:00:00,0.038,0,0,0,0,3.761,3.799
2024-01-07 15:00:00,0.064,0,0.03,0,0,0.18,0.274
2024-01-07 16:00:00,0.074,0,0,0,0,0.18,0.254
2024-01-07 17:00:00,0.038,0.133,0,0.036,0.027,0.736,0.97
2024-01-07 18:00:00,1.397,0.081,0.357,0.228,0.32,2.884,5.267
2024-01-07 19:00:00,1.392,0.081,0.342,0.268,0.18,2.545,4.808
2024-01-07 20:00:00,1.589,1.254,1.538,0.261,0.266,2.571,7.479
2024-01-07 21:00:00,1.636,1.347,0.304,0.276,0.27,1.618,5.451
2024-01-07 22:00:00,1.512,0.039,0.034,0.198,0.285,0.18,2.248
2024-01-07 23:00:00,1.585,0,0,0.266,0.209,0.18,2.24
2024-01-08 00:00:00,0,0,0,0,0,0.18,0.18
2024-01-08 01:00:00,0,0,0,0,0,0.18,0.18
2024-01-08 02:00:00,0,0,0,0,0.039,0.18,0.219
2024-01-08 03:00:00,0,0,0,0,0,0.18,0.18
2024-01-08 04:00:00,0,0.082,0,0.037,0.048,0.181,0.348
2024-01-08 05:00:00,0,1.841,0.977,0.053,0.055,0.181,3.107
2024-01-08 06:00:00,1.337,1.837,0.096,0.042,0.059,2.281,5.652
2024-01-08 07:00:00,1.157,0.037,1.543,0.035,0.055,3.374,6.201
2024-01-08 08:00:00,1.013,0,0.059,0.051,0.056,2.557,3.736
2024-01-08 09:00:00,1.083,0.036,0.046,0.058,0.041,2.857,4.121
2024-01-08 10:00:00,0,0,0,0,0,0.18,0.18
2024-01-08 11:00:00,0,0,0,0,0,0.18,0.18
2024-01-08 12:00:00,0,0,0,0,0,1.59,1.59
2024-01-08 13:00:00,0,0,0,0,0,2.956,2.956
2024-01-08 14:00:00,0,0,0,0,0,2.592,2.592
2024-01-08 15:00:00,0,0,0,0,0,0.18,0.18
2024-01-08 16:00:00,0,0,0,0,0,0.18,0.18
2024-01-08 17:00:00,0,0,0,0,0,0.851,0.851
2024-01-08 18:00:00,1.649,0,0,0,0,2.761,4.41
2024-01-08 19:00:00,1.631,0.042,0.109,0.236,0.309,2.377,4.704
2024-01-08 20:00:00,1.312,0.96,0.919,0.206,0.252,2.409,6.058
2024-01-08 21:00:00,1.437,0.101,0.026,0.252,0.321,1.704,3.841
2024-01-08 22:00:00,1.488,0.172,0.053,0.283,0.222,0.18,2.398
2024-01-08 23:00:00,0,0,0,0.284,0.297,0.18,0.761
2024-01-09 00:00:00,0,0,0,0,0,0.181,0.181
2024-01-09 01:00:00,0,0,0,0,0,0.18,0.18
2024-01-09 02:00:00,0,0,0,0,0,0.18,0.18
2024-01-09 03:00:00,0,0,0,0,0.029,0.18,0.209
2024-01-09 04:00:00,0,0.072,0,0.03,0.03,0.18,0.312
2024-01-09 05:00:00,0,1.07,1.665,0.05,0.039,0.18,3.004
2024-01-09 06:00:00,1.075,0.107,1.663,0.038,0.053,1.369,4.305
2024-01-09 07:00:00,1.099,0.096,1.668,0.049,0.057,3.076,6.045
2024-01-09 08:00:00,1.394,1.59,0.067,0.041,0.05,2.624,5.766
2024-01-09 09:00:00,1.271,1.252,1.813,0.048,0.044,2.712,7.14
2024-01-09 10:00:00,0,0,0,0,0,0.18,0.18
2024-01-09 11:00:00,0,0,0,0,0,0.18,0.18
2024-01-09 12:00:00,0,0,0,0,0,1.522,1.522
2024-01-09 13:00:00,0,0,0,0,0,2.466,2.466
2024-01-09 14:00:00,0,0,0,0,0,2.581,2.581
2024-01-09 15:00:00,0,0,0,0,0,0.18,0.18
2024-01-09 16:00:00,0,0,0,0,0,0.182,0.182
2024-01-09 17:00:00,0,0,0,0,0,0.769,0.769
2024-01-09 18:00:00,1.212,0.107,0,0,0,2.622,3.941
2024-01-09 19:00:00,1.355,0.104,0.193,0.308,0.254,2.875,5.089
2024-01-09 20:00:00,1.543,1.028,1.219,0.246,0.185,3.641,7.862
2024-01-09 21:00:00,1.332,1.232,1.164,0.257,0.251,1.75,5.986
2024-01-09 22:00:00,1.327,0.063,1.504,0.31,0.192,0.18,3.576
2024-01-09 23:00:00,0,0,0,0.239,0.203,0.18,0.622
2024-01-10 00:00:00,0,0,0,0,0,0.18,0.18
2024-01-10 01:00:00,0,0,0,0,0,0.18,0.18
2024-01-10 02:00:00,0,0,0,0,0,0.18,0.18
2024-01-10 03:00:00,0,0,0,0.03,0,0.18,0.21
2024-01-10 04:00:00,0,0.094,0,0.048,0.046,0.18,0.368
2024-01-10 05:00:00,0,1.532,1.404,0.048,0.038,0.18,3.202
2024-01-10 06:00:00,1.021,0.088,1.136,0.036,0.045,1.3,3.626
2024-01-10 07:00:00,1.233,1.114,0.021,0.042,0.06,3.117,5.587
2024-01-10 08:00:00,1.324,0.459,0.532,0.054,0.045,2.711,5.125
2024-01-10 09:00:00,1.464,0.539,1.718,0.049,0.054,1.488,5.312
2024-01-10 10:00:00,0,0,0,0,0,0.18,0.18
2024-01-10 11:00:00,0,0,0,0,0,0.18,0.18
2024-01-10 12:00:00,0,0,0.463,0,0,1.528,1.991
2024-01-10 13:00:00,0,0,0,0,0,2.961,2.961
2024-01-10 14:00:00,0,0,0,0,0,2.532,2.532
2024-01-10 15:00:00,0,0,0,0,0,0.18,0.18
2024-01-10 16:00:00,0,0,0,0,0,0.18,0.18
2024-01-10 17:00:00,0,0,0,0,0,0.75,0.75
2024-01-10 18:00:00,1.525,0.116,0,0,0,2.746,4.387
2024-01-10 19:00:00,1.337,0.091,0.073,0.207,0.267,2.698,4.673
2024-01-10 20:00:00,1.713,1.858,1.001,0.34,0.22,2.69,7.822
2024-01-10 21:00:00,1.285,0,0.041,0.304,0.252,0.18,2.062
2024-01-10 22:00:00,1.445,0.033,0.041,0.28,0.254,0.18,2.233
2024-01-10 23:00:00,0,0,0,0.219,0.191,0.18,0.59
2024-01-11 00:00:00,0,0,0,0,0,0.18,0.18
2024-01-11 01:00:00,0,0,0,0,0,0.18,0.18
2024-01-11 02:00:00,0,0,0,0,0,0.18,0.18
2024-01-11 03:00:00,0,0,0,0,0,0.18,0.18
2024-01-11 04:00:00,0,0,0,0.022,0.044,0.18,0.246
2024-01-11 05:00:00,0,1.515,1.343,0.049,0.059,0.18,3.146
2024-01-11 06:00:00,1.087,1.643,0.027,0.039,0.058,1.367,4.221
2024-01-11 07:00:00,1.413,0.97,1.83,0.054,0.051,2.708,7.026
2024-01-11 08:00:00,1.412,0.21,1.163,0.043,0.051,2.76,5.639
2024-01-11 09:00:00,1.094,0,1.236,0.042,0.037,3.544,5.953
2024-01-11 10:00:00,0,0,0,0,0,0.18,0.18
2024-01-11 11:00:00,0,0,0,0,0,0.18,0.18
2024-01-11 12:00:00,0,0,0,0,0,1.351,1.351
2024-01-11 13:00:00,0,0,0,0,0,2.719,2.719
2024-01-11 14:00:00,0,0,0,0,0,2.591,2.591
2024-01-11 15:00:00,0,0,0,0,0,0.18,0.18
2024-01-11 16:00:00,0,0,0,0,0,0.18,0.18
2024-01-11 17:00:00,0,0,0,0,0,0.882,0.882
2024-01-11 18:00:00,1.305,0.086,0,0,0,2.435,3.826
2024-01-11 19:00:00,1.287,0.268,0.06,0.257,0.32,2.856,5.048
2024-01-11 20:00:00,1.389,1.519,1.673,0.196,0.233,3.577,8.587
2024-01-11 21:00:00,1.344,0.086,0.081,0.255,0.229,1.462,3.457
2024-01-11 22:00:00,1.276,1.676,0.125,0.275,0.215,0.18,3.747
2024-01-11 23:00:00,0,0,0,0.281,0.183,0.18,0.644
2024-01-12 00:00:00,0,0,0,0,0,0.18,0.18
2024-01-12 01:00:00,0,0,0,0,0,0.181,0.181
2024-01-12 02:00:00,0,0,0,0,0,0.18,0.18
2024-01-12 03:00:00,0,0,0,0,0,0.18,0.18
2024-01-12 04:00:00,0,0.074,0,0.039,0.025,0.18,0.318
2024-01-12 05:00:00,0,1.041,1.455,0.043,0.053,0.18,2.772
2024-01-12 06:00:00,1.479,0.125,0.058,0.047,0.056,1.27,3.035
2024-01-12 07:00:00,1.111,0.071,0.1,0.059,0.044,3.178,4.563
2024-01-12 08:00:00,1.085,1.051,0.258,0.04,0.05,2.667,5.151
2024-01-12 09:00:00,1.152,1.784,0.932,0.047,0.059,2.851,6.825
2024-01-12 10:00:00,0,0,0,0,0,0.18,0.18
2024-01-12 11:00:00,0,0,0,0,0,0.18,0.18
2024-01-12 12:00:00,0,0,0,0,0,1.459,1.459
2024-01-12 13:00:00,0,0,0,0,0,1.617,1.617
2024-01-12 14:00:00,0,0,0,0,0,2.73,2.73
2024-01-12 15:00:00,0,0,0,0,0,0.18,0.18
2024-01-12 16:00:00,0,0,0,0,0,0.18,0.18
2024-01-12 17:00:00,0,0,0,0,0,0.834,0.834
2024-01-12 18:00:00,1.231,0,0,0,0,1.353,2.584
2024-01-12 19:00:00,1.277,0.035,0.181,0.324,0.286,3.018,5.121
2024-01-12 20:00:00,1.565,1.655,1.222,0.238,0.223,2.65,7.553
2024-01-12 21:00:00,1.244,1.35,0.095,0.19,0.278,1.815,4.972
2024-01-12 22:00:00,1.386,1.144,0.091,0.222,0.325,0.18,3.348
2024-01-12 23:00:00,0,0,0,0.206,0.23,0.18,0.616
2024-01-13 00:00:00,0,0,0,0,0,0.18,0.18
2024-01-13 01:00:00,0,0,0,0,0,0.181,0.181
2024-01-13 02:00:00,0,0,0,0,0,0.18,0.18
2024-01-13 03:00:00,0,0,0,0,0,0.18,0.18
2024-01-13 04:00:00,0,0.111,0,0.029,0.034,0.18,0.354
2024-01-13 05:00:00,0,1.278,0.994,0.058,0.038,0.18,2.548
2024-01-13 06:00:00,1.253,1.482,0.055,0.041,0.05,2.24,5.121
2024-01-13 07:00:00,1.422,1.697,1.311,0.038,0.045,3.49,8.003
2024-01-13 08:00:00,1.149,0.035,1.538,0.049,0.049,2.792,5.612
2024-01-13 09:00:00,1.302,1.22,1.888,0.042,0.05,2.741,7.243
2024-01-13 10:00:00,0.045,0,0.147,0,0,0.18,0.372
2024-01-13 11:00:00,0.035,0.613,0.669,0,0,0.18,1.497
2024-01-13 12:00:00,0.052,0.467,0,0,0,1.411,1.93
2024-01-13 13:00:00,0.049,0,0,0,0,2.579,2.628
2024-01-13 14:00:00,0.073,0,0,0,0,2.534,2.607
2024-01-13 15:00:00,0.044,0,0,0,0,0.18,0.224
2024-01-13 16:00:00,0.033,0,0.173,0,0,0.18,0.386
2024-01-13 17:00:00,0.076,0,0.175,0,0,0.891,1.142
2024-01-13 18:00:00,1.66,0.066,0.101,0.234,0.233,2.571,4.865
2024-01-13 19:00:00,1.712,0.127,0.091,0.186,0.193,2.465,4.774
2024-01-13 20:00:00,1.481,0.92,1.625,0.227,0.296,2.498,7.047
2024-01-13 21:00:00,1.487,0.062,0.093,0.203,0.248,2.266,4.359
2024-01-13 22:00:00,1.293,0.086,0.112,0.242,0.276,0.18,2.189
2024-01-13 23:00:00,1.516,0,0,0.185,0.294,0.18,2.175
2024-01-14 00:00:00,0,0,0,0,0,0.18,0.18
2024-01-14 01:00:00,0,0,0,0,0,0.18,0.18
2024-01-14 02:00:00,0,0,0,0,0,0.18,0.18
2024-01-14 03:00:00,0,0,0,0,0,0.18,0.18
2024-01-14 04:00:00,0,0.071,0,0.027,0.026,0.18,0.304
2024-01-14 05:00:00,0,1.468,1.002,0.04,0.052,0.18,2.742
2024-01-14 06:00:00,1.437,1.486,0.12,0.053,0.035,1.446,4.577
2024-01-14 07:00:00,1.209,0.091,0.039,0.055,0.049,2.044,3.487
2024-01-14 08:00:00,1.166,0,0.166,0.051,0.053,1.821,3.257
2024-01-14 09:00:00,1.264,0,0,0.039,0.041,2.443,3.787
2024-01-14 10:00:00,0.072,0.502,0.429,0,0,0.18,1.183
2024-01-14 11:00:00,0.074,0,0.423,0,0,0.18,0.677
2024-01-14 12:00:00,0.067,0,0.228,0,0,1.352,1.647
2024-01-14 13:00:00,0.058,0,0.025,0,0,2.642,2.725
2024-01-14 14:00:00,0.033,0.151,0,0,0,2.597,2.781
2024-01-14 15:00:00,0.037,0,0,0,0,0.18,0.217
2024-01-14 16:00:00,0.065,0.151,0,0,0,0.18,0.396
2024-01-14 17:00:00,0.067,0,0,0,0,0.8,0.867
2024-01-14 18:00:00,1.207,0.184,0.289,0.196,0.314,2.806,4.996
2024-01-14 19:00:00,1.56,0.076,0.238,0.259,0.273,2.564,4.97
2024-01-14 20:00:00,1.578,1.469,0.959,0.201,0.279,3.829,8.315
2024-01-14 21:00:00,1.548,1.188,0.054,0.194,0.192,2.861,6.037
2024-01-14 22:00:00,1.564,0.074,0.091,0.262,0.247,0.18,2.418
2024-01-14 23:00:00,1.384,0,0,0.169,0.159,0.18,1.892
2024-01-15 00:00:00,0,0,0,0,0,0.18,0.18
2024-01-15 01:00:00,0,0,0,0,0,0.181,0.181
2024-01-15 02:00:00,0,0,0,0,0,0.18,0.18
2024-01-15 03:00:00,0,0,0,0,0,0.18,0.18
2024-01-15 04:00:00,0,0,0,0.036,0.041,0.18,0.257
2024-01-15 05:00:00,0,1.077,1.724,0.057,0.053,0.18,3.091
2024-01-15 06:00:00,1.016,1.805,0.113,0.051,0.049,1.247,4.281
2024-01-15 07:00:00,1.295,1.47,0.089,0.048,0.06,3.234,6.196
2024-01-15 08:00:00,1.403,0.168,1.477,0.053,0.055,2.644,5.8
2024-01-15 09:00:00,1.318,1.364,0.04,0.042,0.043,2.742,5.549
2024-01-15 10:00:00,0,0,0,0,0,0.18,0.18
2024-01-15 11:00:00,0,0,0,0,0,0.18,0.18
2024-01-15 12:00:00,0,0,0,0,0,1.55,1.55
2024-01-15 13:00:00,0,0,0,0,0,2.464,2.464
2024-01-15 14:00:00,0,0,0,0,0,3.02,3.02
2024-01-15 15:00:00,0,0,0,0,0,0.18,0.18
2024-01-15 16:00:00,0,0,0,0,0,0.18,0.18
2024-01-15 17:00:00,0,0,0,0,0,0.747,0.747
2024-01-15 18:00:00,1.509,0.091,0,0,0,2.731,4.331
2024-01-15 19:00:00,1.352,0.106,0.113,0.257,0.206,1.667,3.701
2024-01-15 20:00:00,1.28,0.936,1.829,0.286,0.303,2.456,7.09
2024-01-15 21:00:00,1.174,1.515,0.07,0.268,0.305,1.479,4.811
2024-01-15 22:00:00,1.4,1.854,1.193,0.24,0.233,0.18,5.1
2024-01-15 23:00:00,0,0,0,0.212,0.281,0.18,0.673
2024-01-16 00:00:00,0,0,0,0.027,0.031,0.18,0.238
2024-01-16 01:00:00,0,0,0,0,0,0.18,0.18
2024-01-16 02:00:00,0,0,0,0,0,0.18,0.18
2024-01-16 03:00:00,0,0,0,0,0,0.18,0.18
2024-01-16 04:00:00,0,0.104,0,0.04,0.045,0.18,0.369
2024-01-16 05:00:00,0,1.186,1.384,0.046,0.055,0.18,2.851
2024-01-16 06:00:00,1.137,0.099,1.721,0.056,0.037,1.266,4.316
2024-01-16 07:00:00,1.487,0.127,0.061,0.057,0.041,3.432,5.205
2024-01-16 08:00:00,1.359,1.836,1.566,0.035,0.051,2.75,7.597
2024-01-16 09:00:00,1.188,1.052,1.924,0.052,0.059,2.675,6.95
2024-01-16 10:00:00,0,0,0,0,0,0.18,0.18
2024-01-16 11:00:00,0,0,0,0,0,0.18,0.18
2024-01-16 12:00:00,0,0,0,0,0,1.513,1.513
2024-01-16 13:00:00,0,0,0,0,0,2.694,2.694
2024-01-16 14:00:00,0,0,0,0,0,2.701,2.701
2024-01-16 15:00:00,0,0,0,0,0,0.18,0.18
2024-01-16 16:00:00,0,0,0,0,0,0.18,0.18
2024-01-16 17:00:00,0,0,0,0,0,0.752,0.752
2024-01-16 18:00:00,1.322,0,0,0,0,2.891,4.213
2024-01-16 19:00:00,1.239,0.06,0.277,0.247,0.294,2.755,4.872
2024-01-16 20:00:00,1.621,1.745,1.646,0.304,0.2,2.917,8.433
2024-01-16 21:00:00,1.431,1.564,0.283,0.251,0.188,1.661,5.378
2024-01-16 22:00:00,1.471,0.06,0.117,0.188,0.314,0.18,2.33
2024-01-16 23:00:00,0,0,0,0.276,0.252,0.18,0.708
2024-01-17 00:00:00,0,0,0,0,0,0.18,0.18
2024-01-17 01:00:00,0,0,0,0,0.031,0.18,0.211
2024-01-17 02:00:00,0,0,0,0,0,0.18,0.18
